Video URL,Title,Captions Available,Caption Text
https://www.youtube.com/watch?v=h0zvXZXoB1A,Closer,No,No captions available :()
https://www.youtube.com/watch?v=WcGWYL6SbYI,Gods Of Egypt,No,No captions available :()
https://www.youtube.com/watch?v=nJCvUiDYr9c,Turbo,No,No captions available :()
https://www.youtube.com/watch?v=WBkyBz7TlGo,Terminator Salvation,No,No captions available :()
https://www.youtube.com/watch?v=Tta0CKImBNk,Maze Runner: the Scorch Trials,No,No captions available :()
https://www.youtube.com/watch?v=G9U54uA6q08,It Follows,No,No captions available :()
https://www.youtube.com/watch?v=Uio6v-LB8Ks,Ghostbusters,No,No captions available :()
https://www.youtube.com/watch?v=UAxMVhK30Gg,Ouija: Origin of Evil,No,No captions available :()
https://www.youtube.com/watch?v=39yazi5GMPA,The Smurfs 2,No,No captions available :()
https://www.youtube.com/watch?v=Y09jN38z1Jg,Jupiter Ascending,No,No captions available :()
https://www.youtube.com/watch?v=x0O7lCbE66M,League Of Extraordinary Gentlemen,No,No captions available :()
https://www.youtube.com/watch?v=m34DYXXN3KM,Scooby-Doo! and WWE: Curse of the Speed Demon,No,No captions available :()
https://www.youtube.com/watch?v=K2KVKF3YGG0,Red Riding Hood,No,No captions available :()
https://www.youtube.com/watch?v=w0kUFIi927s,Scooby-Doo! Frankencreepy,No,No captions available :()
https://www.youtube.com/watch?v=3DqMQAkulpk,The Ides Of March,No,No captions available :()
https://www.youtube.com/watch?v=D4JtLCp0hmI,Faster,No,No captions available :()
https://www.youtube.com/watch?v=raxBpihSVao,I Know What You Did Last Summer,No,No captions available :()
https://www.youtube.com/watch?v=iLq6BtPTgWs,Street Dance 2,No,No captions available :()
https://www.youtube.com/watch?v=XWISSqsBNiM,Daddy Cool,No,No captions available :()
https://www.youtube.com/watch?v=tmvFuKDcGzc,Free Fire,No,No captions available :()
https://www.youtube.com/watch?v=7FvfjZqC3is,Barbie and The Secret Door,No,No captions available :()
